cpc;qid
C11169;-
C12198;-
D00774;-
L03136;-
O00106;-
O00107;-
P12146;-
R00303;NIL
V03277;-
V05016;-
V05140;-
V05150;-
B00042;-
B04250;-
B19179;-
F08211;-
G09328;-
G09329;-
G09335;-
P13727;-
R00307;-
S07872;-
S11097;-
S11438;-
V05108;-
V05110;-
V05111;-
V05112;-
V05114;NIL
J00204;-
P02420;-
G03232;-
D00773;-
D05443;-
G09334;-
G09337;-
K00592;-
M11742;-
N01725;-
M16869;-
N01975;-
O00209;-
P07231;-
P07234;-
P07237;-
P07238;-
P07240;-
P07241;NIL
R00266;-
R01263;-
S04599;-
S09665;-
S11169;-
T03154;-
V01552;-
V05151;-
V05170;-
V05171;-
V05172;-
Z02485;-
Z02515;-
Z02813;-
Z03391;-
H00023;-
S07943;-
V04702;-
V04704;-
Z03382;-
A00860;-
B12346;-
F07433;-
P04220;-
V05060;-
B19798;NIL
B19799;-
L02018;-
E00417;-
C09926;-
N01012;-
O00617;-
P06118;-
G08292;-
G09644;-
G09645;NIL
S06803;-
S11191;-
V01527;-
V01533;-
S11006;-
Z00289;-
F07364;-
S00187;-
S07971;-
V03297;-
B12922;-
C16816;NIL
C16817;-
C16818;-
C16819;-
C17986;-
D05520;-
D08328;-
S07932;-
T02693;-
R05507;-
S10121;-
C06140;-
D03126;-
G03323;-
R06987;-
S00532;-
T02885;-
C17597;-
C17602;-
D01489;-
D08279;-
F04460;-
K00225;-
M16583;-
O01274;NIL
S08788;-
Z00294;-
A00993;-
B02598;-
B03423;-
C17511;-
C17512;-
C17513;-
F00653;-
F07391;-
G03156;-
M16575;NIL
N00800;NIL
P04468;-
P04471;NIL
P04474;-
P04475;-
P06986;-
P07048;-
P07051;-
P07055;-
S10065;-
S10067;-
S10068;-
S10069;-
S11484;-
V03380;-
V03381;-
V03383;-
V04440;-
V04441;-
V04442;-
V04443;-
Z00412;-
Z00756;-
Z02556;-
Z02830;-
Z02938;-
Z02939;NIL
Z02940;-
Z02941;-
Z02942;NIL
Z02943;-
Z02944;-
C09199;-
I01314;-
M16193;-
V02470;-
A03005;-
A03006;-
B06987;-
B06992;-
D07286;-
D07289;-
N00537;-
S08738;-
S10896;-
S11127;-
Z02564;-
B19186;-
B18703;-
G07449;-
P04265;-
R01052;-
S00184;-
S00186;-
S06760;-
S06762;NIL
S08115;-
S11157;-
V03216;-
V03217;-
V03233;-
V05054;-
V05096;-
V05057;-
V05163;-
V05164;NIL
P06352;-
P08417;NIL
C08018;NIL
P08418;-
P08419;-
A02104;-
A02856;-
B01944;-
B02396;-
P08420;-
B04994;-
B12372;NIL
B12729;-
B19187;-
R02321;-
C09188;-
C09231;-
C10857;-
C12335;-
C14773;-
C14774;-
C16505;-
C17538;-
C17586;-
C17988;-
D07028;-
D08208;-
D08209;-
E00037;-
G08147;-
G08377;-
G09068;-
I00322;-
K00519;-
K00708;-
L02614;-
M11724;-
M11858;-
M16218;-
M16219;-
N00323;-
O00192;-
O00489;NIL
O01437;-
P02481;-
P04284;-
P04308;-
P05697;-
P07230;-
P09818;-
P09819;-
P10599;-
P11267;-
P13837;-
R01372;-
R07278;-
S07387;-
S07695;-
S07752;-
S07772;-
S08478;-
S10056;-
S11284;-
S11332;-
T03412;NIL
V03235;-
V03369;-
Z00219;-
Z00291;-
Z00292;-
Z01186;-
Z02103;-
M16720;-
C08014;NIL
C17737;-
C17738;-
C17984;-
C17985;-
D08398;-
P06577;-
P10160;-
V03834;-
P12697;NIL
S05586;-
Z00355;-
V04726;-
B07547;-
B07550;-
B11190;-
B13605;-
B13606;-
B17495;-
B18852;-
B19551;-
C03800;-
C04608;-
C08586;-
C09145;-
C11515;-
C11516;-
D01906;-
D03513;NIL
D04144;-
D07548;-
D08075;-
F00408;-
F03977;-
F05718;-
F06144;-
M05156;-
P04458;-
P04459;-
P04465;-
P07067;-
S02232;-
T01384;NIL
T02890;-
V01768;-
V02605;-
V04459;-
Z02045;-
Z03126;-
Z03129;-
Z03130;-
Z03304;-
C11517;-
C13252;-
D02487;-
D03847;-
D05288;-
D07246;-
F04005;-
F05355;-
F06527;-
F08672;-
G03248;-
S05201;-
S05202;-
S05204;-
S05206;-
S07938;-
S08836;-
T03449;-
A01348;-
A02572;NIL
B12107;-
B12357;-
C08927;-
C09142;-
C09144;-
D08302;-
E00328;-
I00312;-
H00221;-
J00211;-
L05071;-
R03621;-
R07718;-
S01908;-
S07733;-
S07734;-
S07754;-
S07824;NIL
S07825;-
S07876;-
S07963;-
S07964;-
S08736;NIL
S11007;NIL
S11030;-
V01570;-
V03679;-
V04725;-
V05087;-
V05088;-
V05089;-
Z00211;-
Z00221;-
Z00225;-
Z02806;-
B12244;-
D08263;-
G08348;-
G08349;-
G09854;-
I00172;-
I00173;-
I00203;-
K00453;-
K00454;-
K00455;-
P04534;NIL
P04540;-
P12582;-
R02454;-
S05153;-
S07761;-
S09974;-
S11403;-
T01151;-
T01621;-
T01622;-
L05433;-
T05631;-
T06160;-
M00637;-
V02604;-
V04073;-
V05062;-
Z01836;-
Z01839;-
A05667;-
B07641;-
C08028;-
C14586;-
C09711;-
P00535;-
J00161;-
J00262;-
K00785;-
L01840;-
L01841;-
L01842;-
L01843;-
Z00336;-
C06330;-
F08021;-
I00437;NIL
J00107;-
K00504;-
F02783;-
M16200;-
O00003;-
S03182;-
S11457;-
S07775;-
V03312;-
B00768;-
C09227;-
B00072;-
C16509;-
D07313;-
F07425;-
F08018;-
G04172;-
M08194;-
M16725;-
P00035;-
P00819;-
P07236;-
R07289;-
S02543;-
S09819;-
S10197;-
S10199;-
S10200;-
S10201;-
S10202;-
S10206;-
T03217;-
S10592;-
T06083;-
V05042;-
Z00230;-
P12197;-
Q00279;-
R00108;-
G08148;-
B11826;-
B17276;-
B17991;-
B17992;-
B17994;-
B19848;-
C17964;-
D05424;-
F07439;-
F08215;-
F08216;-
G07451;-
I01221;-
M01539;-
M08198;NIL
O01321;-
P03343;-
R05433;-
R08014;-
S07944;-
A01885;-
S10462;-
V03329;-
S10463;-
S10465;-
S11313;-
M00872;-
M11716;-
M11722;-
T05325;-
G04692;-
D04690;-
B01216;-
G00078;-
B08462;-
M14997;-
B12986;-
C08016;-
P00659;-
C09063;-
P03513;-
P04460;NIL
P04461;-
P04462;-
R00098;NIL
A05049;-
G10903;-
R00099;-
M01090;-
R00100;-
T00625;-
R02521;-
S01162;-
S08760;-
T01981;-
F07760;-
I00864;-
R05212;-
G00274;-
A01775;-
B03464;-
S03365;-
S06628;-
C17980;-
P07068;-
R01668;-
R01669;-
S11410;-
C09973;-
T01516;-
B02293;-
C17395;-
F07678;-
Z03228;-
B19648;-
P03010;-
L03303;-
B04501;-
B17944;-
B17945;-
B17961;-
B19840;-
B19841;-
C10526;-
C17496;-
D00900;-
D08085;-
F02009;-
F02010;-
F02011;-
F04466;-
F04467;-
F04468;-
M02410;-
N00055;-
S11455;-
C09200;-
C17353;-
T03489;-
T03490;-
A04076;-
A04269;-
C04609;-
C09955;-
I01309;-
I01310;-
P13820;-
R02348;-
S05360;-
Z02118;-
B12359;-
C13227;-
K00799;-
D02470;-
D03916;-
M15825;-
S08632;-
S10643;-
B15772;-
Z02931;NIL
B05933;-
B18877;-
P10483;-
P10489;-
R02687;-
R03627;-
S07766;-
G09617;-
D03843;-
G02508;-
J00280;-
W00069;-
W00075;-
Z00209;-
Z00220;-
A03965;-
B02074;-
B04619;-
C16955;-
C16956;-
C16957;-
C17423;-
E00436;-
F03820;-
F07389;-
J00333;-
M00407;-
P01438;-
P06910;-
P06938;-
P08792;NIL
R02389;-
S06326;-
T00672;-
T03156;-
R05658;-
A04237;-
G01856;-
G08300;-
P10649;-
B08015;-
C17782;-
K00319;-
K00715;-
O00047;-
V04813;-
V04816;-
Z01971;-
B03025;-
T03111;-
T03112;-
V05080;-
Z00227;-
Z00504;-
Z02461;-
F08207;-
P04890;-
T03411;-
O01159;-
R05304;-
B12154;NIL
B12156;-
L01022;-
L01806;-
L01814;-
P01810;-
B05790;-
B19795;-
C02643;-
C12463;-
C14147;-
C14148;-
C17961;-
D03839;-
D04223;-
F00251;-
F08604;-
G02578;-
H00191;-
H00248;-
J00069;-
K00324;-
L01808;-
L02478;-
L04418;-
M02850;NIL
M04466;-
M04501;-
M05389;-
M08060;-
M12124;-
M16116;NIL
N01635;-
P00328;-
P00339;-
P00341;-
P10373;-
P12694;-
R03623;-
S05182;-
S07962;-
T04050;-
T04489;NIL
V04003;-
Z02157;NIL
Z02846;-
L04750;-
M12709;-
V02307;-
T01386;-
S09672;-
N00022;-
G08328;-
F08174;-
O00218;-
C04417;NIL
F08347;-
F08348;-
M16458;-
O00212;-
S07369;-
S11265;-
S11266;-
V00632;-
V00633;-
V00634;NIL
V05153;-
Z03380;-
G07854;-
C08435;-
K00579;-
P12126;-
S07786;-
C16951;-
P10865;-
V04254;-
B00022;-
C15866;-
C16389;-
D02945;-
B03946;-
B14981;NIL
I01298;-
K00623;-
O01223;-
Z01848;NIL
V02907;-
B12318;-
C17604;-
S07855;-
S10072;-
S10073;-
S10074;-
Z03180;-
C15081;-
Z02814;-
A00387;-
B03503;NIL
B07779;-
B19548;-
C12485;-
C15953;-
C17165;-
C17629;NIL
C17716;-
C17954;-
C17955;-
D01651;-
D04902;NIL
D05512;-
D07067;-
D08197;-
F05078;-
G07414;NIL
G09864;-
G09877;-
J00053;-
L01932;NIL
L05270;-
M00410;-
M01990;-
M03546;-
M11182;-
N00829;-
N01315;-
O00063;-
P02713;-
P05865;-
P06820;-
P09764;-
P13869;-
S00693;-
S00694;-
S03407;-
S07575;-
S07581;-
S10921;-
T02818;-
T03119;-
T03122;-
V02335;-
V03438;-
Z02827;-
B08164;-
D08324;-
G07448;-
P07445;-
P10662;-
R01680;-
C13436;-
D05606;-
G08290;-
M05696;-
R00167;-
S06793;-
S06798;-
S11286;-
Z00321;-
Z00322;-
Z02553;-
A02934;-
A02935;-
G09856;-
O01315;NIL
P05431;NIL
S06761;-
S07636;NIL
S10860;-
V03351;-
B02345;-
B12137;-
C13427;-
B17997;-
C17516;-
C17517;-
C17518;NIL
C17594;-
D07277;-
D08094;-
E00414;-
I00455;-
I00456;-
I00457;-
L00232;-
M12373;NIL
M12374;-
M16209;-
O00221;-
P12928;-
R00034;-
R00109;-
R01224;-
R00169;-
R02516;-
R03242;-
R05652;-
S08144;NIL
S10045;-
S10057;-
S11205;-
S11270;-
S11271;-
S11373;-
V00132;-
V00655;-
V01773;-
V03674;-
V05052;-
V05058;-
Z02822;-
Z03223;-
Z03282;-
K00219;-
K01022;-
P10676;-
C11491;-
D08077;-
Z00314;-
L05724;-
P09708;-
R00121;-
S07281;NIL
A00420;-
G07925;-
K01006;-
L01311;-
S11269;-
D05279;-
K00377;-
K00378;-
K00510;-
K00789;-
P05659;-
S10556;-
K01041;NIL
B14601;-
B14604;-
B17995;-
C08724;-
C17521;-
D00873;-
F00326;-
I00492;-
I00497;-
I00499;-
K00676;-
N00049;-
N02173;-
P09019;-
V01747;-
Z02201;-
C11638;-
C17167;-
P10506;-
P12159;-
S10396;-
G09220;-
N00062;-
P09608;-
S07659;-
K00622;-
L01374;-
S09844;-
N00077;-
N00078;-
N01347;-
P00900;-
P05872;-
S10653;-
S10654;-
S11487;-
S11488;-
R00317;-
S07776;-
C09572;-
K00428;-
P06992;-
G08385;-
R00283;-
R00284;-
N01042;-
N01043;-
M16729;-
P11405;-
B12745;-
D07993;-
P01022;-
R00246;-
V02599;-
B16348;-
B19481;-
B19483;-
C04419;-
F08345;-
F08349;-
S09939;-
F08346;-
B00538;-
D06274;-
D08274;-
G07456;NIL
P02419;-
P06180;-
S05252;-
S08119;-
V04777;-
B11547;-
S07399;-
Z02926;-
A03864;-
A04212;-
A04213;-
B12345;-
B15892;-
C10974;-
D06924;NIL
E00416;-
F07427;-
F07428;NIL
F07434;-
G02697;-
G09859;-
G09861;-
G09878;-
H00223;-
L02833;-
M16211;-
P06439;-
P06606;-
R02281;-
S03428;-
S03429;-
S05258;-
S07698;-
S11107;-
T06078;-
V00992;-
V04690;-
V04692;NIL
Z01480;-
Z03127;-
Z03137;-
Z03299;-
F05422;-
P10646;-
S07705;-
B01150;-
B02025;-
B02033;-
B04829;NIL
B10190;-
B12024;-
B12169;-
B17642;-
B18713;-
B19112;-
B19461;-
C08928;-
C16701;-
C17158;-
D07261;-
D08003;NIL
D08076;-
E00518;NIL
F05417;-
G02469;-
G02470;-
G09853;-
M08190;-
M08997;-
M14664;-
M16177;-
N00656;-
O00059;-
D00684;-
P00818;-
P03344;-
P05873;-
B11101;-
P08935;-
P11785;-
P12131;-
R00181;-
R00198;-
R00202;-
R00585;NIL
R02233;-
S02884;-
S06232;-
S07049;-
S07914;-
S07915;-
S07917;-
T01554;-
T01562;-
T01570;-
T03539;-
T06081;-
V02532;-
V02533;-
V02534;-
V02535;-
V04782;-
Z00148;-
Z00223;-
M09622;-
Z01223;-
Z01802;-
D00066;-
Z02188;-
Z02189;-
Z02198;-
M00395;-
Z02477;-
M10519;-
Z03307;-
Z03310;-
Z03389;-
Z03390;-
F05413;-
C03808;-
K00425;-
K00508;-
S07838;-
M07295;-
V00279;-
V03945;-
B16290;-
C02028;-
C15641;-
D08352;-
L00385;-
M06983;-
M06990;-
P01134;-
B04283;-
B04287;-
B06074;-
B06259;-
B06682;-
B06861;-
B06862;-
B06863;-
B06866;-
B06934;-
B07172;-
B08540;-
B08650;-
B09218;-
B09230;-
B09234;-
B13607;-
B15292;-
B15867;-
C07955;-
C07956;-
C12080;-
C12509;-
C12579;-
C12580;-
C12581;-
C12849;-
C12850;-
C12852;-
C12853;-
C12854;-
C16628;-
C16629;-
C16899;-
C16952;-
C16953;-
C16954;-
C17139;-
C17350;-
C17384;-
C17495;-
C17916;-
D00714;-
F01955;-
F02243;-
F02245;-
F02246;-
G04173;-
G04466;-
G04472;-
G09236;-
C12787;-
C12788;-
C12789;-
C09927;-
C09928;-
L01844;-
P10840;-
S07802;NIL
S06322;-
S11393;-
V04729;-
B00282;-
M05447;-
R00278;-
C16644;-
A03962;-
C10775;-
O00975;-
P02105;-
S10641;-
V02333;-
C09264;-
C09269;-
C12442;-
F05414;-
F05416;-
M05723;-
N00432;-
P05770;-
P10653;-
P10654;-
R00082;-
R01373;-
R01374;-
S04372;-
S05592;-
S07574;-
S07576;-
S07577;NIL
S07578;-
S07579;-
S07580;-
S07966;-
S10487;-
S10488;-
B08461;-
B18688;-
B19247;-
B19646;-
C06986;-
C09059;-
C09958;-
C16645;-
C17026;-
D04180;-
F06828;-
G01701;-
G05566;-
G05789;-
G06674;-
M03544;-
M03547;-
M03788;-
P07200;-
P07206;NIL
R00262;-
R08033;-
R08034;-
R08035;-
T00518;-
T00595;-
T03540;-
V01962;-
V02913;-
V03288;-
V03293;-
V03439;-
Z01647;-
Z02180;-
Z03392;-
B00179;NIL
B00186;-
B00187;NIL
B02078;-
B02247;-
B06329;-
B07032;-
B09648;-
B09649;-
B09650;-
B09653;-
B14399;-
B18103;-
B18105;-
B18689;-
B18690;-
C08649;-
C08666;-
C09266;-
C10757;-
C10758;-
C10759;-
C10764;-
C10766;-
C10767;-
C13687;-
C15902;-
D02081;-
D03856;-
D05342;-
D07280;-
D07282;-
D07283;-
D07285;-
D07287;-
D08350;-
D08461;-
D08595;-
D08610;-
F00405;-
F02725;-
F02726;-
F04503;NIL
F04522;-
F04530;-
F08317;-
G00546;-
G03272;-
G04901;-
G06656;-
G06657;-
G08140;-
G08141;-
G08142;-
G08295;-
G08296;-
G08297;-
Z03237;-
Z02925;-
V04735;NIL
V03234;-
V02811;-
G08316;-
G08384;-
G09902;-
I01195;-
I01196;-
I01222;NIL
I01258;NIL
K00569;-
L00912;-
L03511;-
L05678;-
M00289;-
M11273;-
M12875;-
O00223;-
O00618;-
P03772;NIL
P04115;-
P05773;-
P06988;-
P12935;-
R00329;-
R00330;-
R01062;-
R02621;-
R03637;-
R07673;-
R07814;-
R07815;-
S00533;-
S02512;-
S03185;NIL
S05834;-
S06612;-
S07570;-
S07571;-
S07767;-
S07861;-
S07862;-
S10268;-
S10489;-
S10522;-
S10886;-
S10887;-
S11103;-
T05565;-
V01753;-
T05434;-
T05438;-
T05439;-
T06020;-
T06021;-
T06022;-
V03340;-
V03341;-
V03348;-
V03350;-
V04745;-
Z02159;-
Z02160;-
Z02161;-
A03947;-
B00177;-
B00178;-
B08359;-
B08449;-
B12748;-
B18910;-
B18911;-
B18912;NIL
B18914;-
B18915;-
B18916;-
B19406;-
B19408;-
B19409;-
B19507;-
C07399;-
D03722;-
F02970;-
M11808;-
N00048;-
P01069;-
P01070;-
P01071;-
P01072;-
P06821;-
P07204;-
R07038;-
R07780;-
R07786;-
S03193;-
S03194;-
S03195;-
S03196;-
S04390;-
S07006;-
S09712;-
S09721;-
S09722;-
S09724;-
T05976;-
Z00038;-
Z02928;-
Z02930;-
Z02932;-
C09925;-
C17990;-
G04174;-
G04175;-
M16748;-
N01044;-
Z01938;-
C03807;-
D08317;NIL
D08318;-
F04717;-
K00918;-
S06792;-
S06795;-
S06796;-
S06799;-
S06800;-
S06801;NIL
Z03306;-
A02718;-
A03282;-
C17428;-
P00709;-
D03848;-
D05329;-
D08194;-
H00059;-
I00487;-
J00273;-
J00274;-
M10672;-
P06153;-
P06913;-
C16545;-
C16546;-
C16547;-
G00706;-
L01829;-
M11773;-
P05786;-
R00728;-
S10936;-
S10937;-
S10938;-
V04779;-
V04780;NIL
Z03301;-
G09857;-
S10642;-
V05102;-
Z02310;-
A04889;-
C09583;-
S05316;NIL
S10175;-
V04852;-
A02932;-
B08831;-
B13715;-
C09267;-
C14991;-
D05047;-
D06747;-
E00512;-
E00517;-
G03565;-
G07926;-
G08663;-
G09336;-
P07443;-
P07444;-
P13637;NIL
R00183;-
R07279;-
S05795;-
S09941;-
S09942;-
R07280;-
Z02251;NIL
Z02493;-
B12433;-
B17347;-
B17439;-
C10292;-
P06923;-
R02594;-
R07539;-
S11057;-
S11058;-
S11059;-
S11062;-
T03402;-
V05095;-
B12898;-
R00598;-
R07454;-
B19137;-
B19138;-
C09720;-
B19219;-
B19220;NIL
P05787;-
P05788;-
P05789;-
M16126;-
B15766;-
M11721;-
V03374;-
V03375;-
Z02522;-
S07836;-
S07837;-
Z02519;-
E00406;-
N00312;-
B00493;-
B02036;-
B04388;-
B04391;NIL
B10191;-
B12348;-
B13088;-
B14602;-
B17113;-
B17765;-
B17766;-
B17767;-
B17996;-
B17998;-
B18686;-
B19505;-
D07284;-
D07288;-
D07959;-
E00185;-
F04808;-
B12222;-
V03732;-
M03474;-
G03629;-
G03409;-
B19570;-
C12443;-
V04734;-
C02245;-
D04058;-
D08245;-
L03191;-
S04094;-
T03289;-
Z01243;-
T03284;-
B00502;-
B12819;-
B12821;-
B18714;-
A02591;-
B17395;-
C04769;-
M12913;NIL
R01690;-
G11176;-
Z01045;-
Z01878;-
A03690;-
B12312;-
C00215;NIL
C00216;-
J00342;NIL
B04802;-
C04773;-
D08321;-
F02825;-
G09903;-
V01899;-
B00336;-
B04835;-
B19487;-
C09748;-
C11945;-
F01573;-
F07814;-
G03730;-
G09319;-
L02537;-
M16045;-
R03531;-
S00647;-
S07753;-
S07949;-
S08461;-
S10401;-
T03202;-
T03300;-
V02606;NIL
A02101;-
B02344;-
C06687;-
F05205;-
M12987;-
N00727;-
P03339;-
S02539;-
S02541;-
S02542;-
T00433;-
V03385;-
Z00218;-
Z00236;-
Z03311;-
C16381;-
F08837;-
K00719;-
V05067;-
V05068;-
Z00226;-
Z02403;-
S08126;-
A01510;-
A01531;-
A03691;-
A03868;-
A04215;-
B02335;-
B02336;-
B02337;-
B02409;-
B02410;-
B02411;-
B04892;-
B04910;-
B05816;-
B11550;-
B12863;-
B13401;-
B18493;-
C16526;-
C17394;-
C17605;-
D02129;-
D02364;-
D07316;-
D08275;-
E00298;-
E00401;-
F07203;-
F08435;-
G09858;-
G09862;-
G09881;-
G11360;-
I01234;-
K00441;-
K00665;-
L02655;-
L04725;-
L04726;-
L04727;-
L04728;-
L04740;-
L05164;-
L05191;-
M00483;-
M12358;-
M12925;-
N00828;-
N01749;-
N01750;-
N01751;-
N01752;-
N02189;-
O00104;-
P01766;-
P02470;-
P02471;-
P02472;-
P02473;-
P03305;-
P04222;NIL
P04223;NIL
P04894;-
P05444;-
P05449;-
P06123;-
P06985;-
P07446;-
P10145;-
P10146;-
P10147;-
P10161;-
P11148;-
P11255;NIL
P11271;-
R00729;-
S02003;-
S02050;-
S02485;-
S05525;-
S06024;-
S06318;-
S06319;-
S08660;-
S08664;-
S09470;-
S09995;-
S10196;-
S11392;-
T00523;-
V00644;-
V02361;-
V03276;-
V03387;-
V04691;-
V04699;-
V04700;-
V05156;-
V05167;-
V05168;-
Z02002;-
Z02181;-
Z02525;-
Z02526;-
Z02711;-
Z03202;-
Z03305;-
B05262;-
A03862;-
P03337;-
C17807;-
G05548;-
S10553;-
V05184;-
B13716;-
J00084;-
T05534;-
T05533;-
C09183;-
C17157;-
F04692;-
G07470;-
K00600;-
P13756;-
S08352;-
S09973;-
S11093;-
Z00347;-
A05612;-
C09741;-
D03832;-
D08454;-
L05617;NIL
M03410;-
M16421;-
T05557;-
T05558;-
T05563;-
Z00297;NIL
Z01956;-
V03315;-
V02255;-
B17443;-
A01833;-
C17682;-
E00415;-
D08293;-
G07468;NIL
P07448;-
R01180;-
S07283;-
S07803;-
T04801;-
Z03298;NIL
A01772;-
C11118;-
R00736;-
R00737;NIL
B00897;-
R00738;-
S07418;-
V05175;-
Z02213;-
Z02215;-
Z02221;-
Z02222;-
Z02225;-
Z02521;-
S08766;-
Z02204;-
Z02457;-
G09320;-
G09321;-
G09324;-
G09327;-
J00217;-
K00032;-
N00073;-
P09988;-
G09860;-
V03384;-
C02915;-
M16221;-
D06979;-
M15641;-
M15642;-
M15643;-
V04428;-
B12286;-
C02174;-
F07312;-
G03015;-
P11149;NIL
P11151;-
T02337;-
V01815;-
V04803;NIL
B02035;-
B05680;-
G00707;-
T03301;-
C09936;-
C09937;-
C09939;-
D05254;-
D08096;NIL
J00083;-
J00085;-
S03270;-
S04826;-
S04827;-
T05697;-
V01770;-
C13647;-
F03665;-
C08886;-
E00412;-
F01246;-
P09612;-
T05556;-
T05562;-
B18511;-
B05219;-
B07776;-
B07777;-
C09220;-
C09221;-
C09222;-
C11483;-
C11484;-
I00363;-
J00220;-
S07386;NIL
S10688;-
T01777;-
T01778;-
T01779;-
T01780;-
T05064;-
B02099;-
B13085;-
B13086;-
B19883;-
F00319;-
F00355;-
G02539;-
G03736;-
G03754;-
G04821;-
G11227;-
J00071;-
J00072;-
K00649;NIL
K00658;-
L03267;-
S07759;-
S11430;NIL
U00075;-
U00236;-
U00238;-
S01366;-
B12330;-
C08300;-
H00086;-
R02359;-
S06772;-
S10112;-
B16327;-
C09475;-
C09477;-
F06529;-
F06532;-
G08379;-
G08386;-
K00431;-
M01546;-
M04233;-
M16312;-
O00038;-
P04140;-
P06654;-
P11142;-
P11144;-
P12619;-
S07798;NIL
S07799;-
S11060;-
V05129;-
B12013;-
B18921;-
B18923;-
C00211;-
C02837;-
D03387;-
D03845;-
D07997;-
G07819;-
J00029;-
J00036;-
J00079;NIL
M05151;-
M08105;-
M16914;-
O00054;-
P05783;-
P12954;-
P12956;NIL
P12957;-
P12959;-
P13864;-
R07779;-
S07042;-
S07538;-
S07771;-
S09174;-
S09977;-
S10406;-
C03440;-
C03460;-
M08103;-
R01820;-
U00349;-
B07983;-
C08628;-
C09182;-
K00081;-
K00187;NIL
K00964;-
M04638;-
P02078;-
P05462;-
P11266;-
P12156;-
R01824;-
S06226;-
S07909;-
V03822;-
A02916;NIL
B16337;-
B17105;-
C08501;-
M01292;-
M12462;-
P09856;-
P09858;-
P12651;-
R05680;-
R05691;-
S05365;-
S05367;-
S05693;-
S05700;-
S07701;-
S07703;-
V05031;NIL
V05032;-
M10555;-
P06928;-
P09874;-
P12362;-
Z00324;-
Z00326;-
Z00327;-
Z00364;-
G09235;-
M16913;-
O00970;-
P06179;-
S07534;NIL
S07969;-
T04743;-
C00210;-
H00103;-
H00110;-
J00154;-
J00155;-
K00447;-
K00606;-
L02647;-
P09610;-
S05099;-
S05398;-
S07806;-
S08420;-
Z00325;-
A00859;-
B06989;-
B12851;-
J00049;-
J00070;-
J00212;-
P10531;NIL
P10647;-
P11268;-
R02302;-
R02303;-
S11004;-
S11068;-
V03349;-
P12047;-
P12143;-
R03950;-
S11347;NIL
T05113;NIL
Z03302;NIL
A01686;-
A01687;-
A01718;-
A01719;-
G02699;-
I01336;-
K01000;-
L05187;-
P04927;-
P11152;-
R02695;-
R02699;-
R04432;-
S07096;-
S09780;-
V04697;-
Z02811;-
F08601;-
B17255;-
G00217;-
G00219;-
P10409;-
P11772;-
P12645;-
R02524;-
R03620;-
S07815;-
S11319;-
T04933;-
T04934;-
T05071;-
T05435;-
T06076;-
T06080;-
V03332;-
V04824;-
F08611;-
C01469;-
R03943;-
R07730;-
S07814;-
V02607;NIL
V04649;-
Z02065;-
G08090;-
P10505;-
R04125;-
F00680;-
U00425;-
A03236;-
G00516;-
N00081;-
N00083;-
P10566;-
P10567;-
P10568;-
R00285;-
R00298;-
V04721;-
Z03176;-
B10544;-
B11481;-
B13346;-
C14981;-
F04387;-
F08663;-
G05672;-
G08319;NIL
I00190;-
I01180;-
J00133;-
K00446;-
K01088;-
L00428;-
L00430;-
L00593;-
L01514;-
M04482;-
M11720;-
M12384;-
M12385;-
M12386;-
O00706;-
O00707;-
O00708;-
O00709;-
O00710;-
O00711;-
O01438;-
O01439;-
O01441;-
O01442;-
P00334;-
P05869;-
P11617;-
S05581;-
S05584;-
S10598;-
S11314;-
S11315;-
S11316;-
S11317;-
