cpc;qid;tipo;nom1;nom2;nac1;nac2;sex1;sex2;pais1;pais2;ciudad1;ciudad2;oficio1;oficio2;padre1;padre2;afil1;afil2;num_ent;alias
S00249;Q3659818;umano;Carlo Sacchetti;Carlo Sacchetti;1895;1960;m;m;Italia;Italia;Massarosa;Fara in Sabina;bracciante|falegname;conduttore televisivo;Tommaso;;comunista;autore televisivo e conduttore televisivo italiano;2;
S00249;Q132077136;organizzazione;Carlo Sacchetti;Q132077136;1895;0;m;;Italia;;Massarosa;;bracciante|falegname;;Tommaso;;comunista;;2;
S00598;Q17146774;umano;Giuseppe Sala;Giuseppe Sala;-1000;1958;m;m;;Italia;;Milano;segretario generale lega int.antin.;dirigente d'azienda|personalità del mondo degli affari|politico|sindaco;;;antifascista;politico, dirigente pubblico e dirigente d'azienda italiano (1958-);16;
S00598;Q1084719;umano;Giuseppe Sala;Giuseppe Sala;-1000;1762;m;m;;Stato Pontificio;;Roma;segretario generale lega int.antin.;sacerdote cattolico;;;antifascista;cardinale italiano;16;Giuseppe Sala
S00598;Q972118;umano;Giuseppe Sala;Giuseppe Sala;-1000;1643;m;m;;Repubblica di Venezia;;Venezia;segretario generale lega int.antin.;editore musicale|tipografo;;;antifascista;editore veneziano;16;
S00598;Q17146766;pagina di disambiguazione di un progetto Wikimedia per nomi di persona;Giuseppe Sala;Giuseppe Sala;-1000;0;m;;;;;;segretario generale lega int.antin.;;;;antifascista;pagina di disambiguazione di un progetto Wikimedia;16;
S00598;Q55344397;umano;Giuseppe Sala;Giuseppe Sala;-1000;0;m;m;;;;;segretario generale lega int.antin.;ricercatore;;;antifascista;researcher;16;
S00598;Q111752907;umano;Giuseppe Sala;Giuseppe Sala;-1000;1916;m;m;;Italia|Regno d'Italia;;Palermo;segretario generale lega int.antin.;giornalista pubblicista|politico|storico del cinema;;;antifascista;pubblicista e politico italiano (1916-1970);16;
S00598;Q61481854;umano;Giuseppe Sala;Giuseppe Sala;-1000;1933;m;m;;;;;segretario generale lega int.antin.;;;;antifascista;scrittore (1933-2014);16;
S00598;Q112527181;umano;Giuseppe Sala;Giuseppe Sala;-1000;1943;m;m;;;;;segretario generale lega int.antin.;sacerdote cattolico|teologo;;;antifascista;;16;
S00598;Q55005001;umano;Giuseppe Sala;Giuseppe Salamanna;-1000;0;m;m;;;;;segretario generale lega int.antin.;ricercatore;;;antifascista;researcher;16;
S00598;Q59668307;umano;Giuseppe Sala;Giuseppe Salamone;-1000;0;m;m;;;;;segretario generale lega int.antin.;ricercatore;;;antifascista;researcher ORCID ID = 0000-0003-2658-1950;16;
S00598;Q27835125;umano;Giuseppe Sala;Giuseppe Salari;-1000;1909;m;m;;Italia|Regno d'Italia;;Spello;segretario generale lega int.antin.;politico;;;antifascista;politico italiano;16;
S00598;Q64744963;umano;Giuseppe Sala;Giuseppe Salandri;-1000;1822;m;m;;;;Loreto;segretario generale lega int.antin.;sacerdote cattolico|vescovo cattolico;;;antifascista;vescovo cattolico;16;
S00598;Q116250882;umano;Giuseppe Sala;Giuseppe Saladini;-1000;0;m;m;;Regno d'Italia;;;segretario generale lega int.antin.;ingegnere navale;;;antifascista;ingegnere navale italiano;16;
S00598;Q116250863;umano;Giuseppe Sala;Gino Saladini;-1000;1957;m;m;;Italia;;Civitavecchia;segretario generale lega int.antin.;cantante|drammaturgo|medico legale|psicologo clinico|scrittore;;;antifascista;medico e scrittore italiano (1957-);16;Giuseppe Saladini
S00598;Q23900806;umano;Giuseppe Sala;Giuseppe Saladino;-1000;1556;m;m;;;;Palermo;segretario generale lega int.antin.;sacerdote cattolico|vescovo cattolico;;;antifascista;Italian Roman Catholic prelate;16;
S00598;Q98109916;umano;Giuseppe Sala;Giuseppe Salaroli;-1000;1935;m;m;;;;;segretario generale lega int.antin.;;;;antifascista;;16;
R04377;Q133694797;umano;Giacomo Roberti;Q133694797;1894;1874;m;;Italia;;Domodossola;;commerciante in vernici;filologo;Federico;;comunista;;2;
R04377;Q90876750;umano;Giacomo Roberti;Giacomo Roberti;1894;0;m;;Italia;;Domodossola;;commerciante in vernici;ricercatore;Federico;;comunista;researcher;2;
M10228;Q73542693;umano;Giovanni Mercuri;Giovanni Mercurino Antonio Arborio di Gattinara;1866;1685;m;m;Italia;;Filottrano;Lucca;;sacerdote cattolico|vescovo cattolico;Giuseppe;;anarchico;vescovo cattolico italiano;5;Giovanni Mercurino Antonio Arborio di Gattinara
M10228;Q16211901;umano;Giovanni Mercuri;Giovanni da Correggio;1866;1451;m;m;Italia;;Filottrano;;;alchimista|predicatore;Giuseppe;;anarchico;(1451 - ) predicatore e alchimista italiano;5;
M10228;Q22740113;umano;Giovanni Mercuri;Mercurius de Vipera;1866;1436;m;m;Italia;;Filottrano;Benevento;;giudice|giurista|sacerdote cattolico|scrittore|vescovo cattolico;Giuseppe;;anarchico;vescovo cattolico;5;Giovanni Mercurio Vipera
M10228;Q106130783;umano;Giovanni Mercuri;Giovanni Mercurio;1866;1916;m;m;Italia;Regno d'Italia;Filottrano;Udine;;psichiatra;Giuseppe;;anarchico;psichiatra italiano (1916-1945);5;
M10228;Q21543332;umano;Giovanni Mercuri;Giovanni Mercurio Casolino;1866;1974;m;m;Italia;;Filottrano;;;;Giuseppe;;anarchico;"1974-; Dottorato di ricerca in ingegneria elettrica e dell'informazione. Nato a Napoli il 9/07/1974";5;
A00997;Q3766363;umano;Giovanni Ala;Giovanni Alamia;1883;1951;m;m;Italia;Italia;San Giorio;Palermo;operaio;attore|cantautore;Vittorio;;antifascista;attore e cantautore italiano (1951-2000);7;
A00997;Q3766360;umano;Giovanni Ala;Giovanni Alasia;1883;1927;m;m;Italia;Italia|Regno d'Italia;San Giorio;Torino;operaio;partigiano|politico|sindacalista;Vittorio;;antifascista;sindacalista e politico italiano (1927-2015);7;
A00997;Q96245221;umano;Giovanni Ala;Giovanni Alasco;1883;0;m;m;Italia;;San Giorio;;operaio;;Vittorio;;antifascista;;7;
A00997;Q136242204;umano;Giovanni Ala;Giovanni Alassane Camara;1883;2005;m;m;Italia;Italia;San Giorio;;operaio;cestista;Vittorio;;antifascista;Italian basketball player (born 2005);7;
A00997;Q66317695;umano;Giovanni Ala;Giovanni Alabiso;1883;0;m;m;Italia;Stati Uniti d'America;San Giorio;Woburn;operaio;attore;Vittorio;;antifascista;attore statunitense;7;
P09760;Q108677250;umano;Michele Pisani;Michele Pisani;1895;1965;m;m;Italia;Italia;Carlantino;Cosenza;bracciante|guardia civica;economista;Antonio;;comunista;economista italiano (1975-);1;
P03053;Q120848943;umano;Giovanni Parrella;Giovanni Parrella;1902;1970;m;m;Italia;;San Martino Valle Caudina;Roma;bracciante;giornalista;Generoso;;socialista;;1;
M09016;Q3108095;umano;Giuseppe Meda;Giuseppe Meda;1886;1534;m;m;Italia;Italia;Cremona;Milano;fruttivendolo;architetto|ingegnere|pittore;Pasquale;;anarchico;pittore, architetto e ingegnere italiano;1;
P01645;Q3837034;umano;Lorenzo Panepinto;Lorenzo Panepinto;1865;1865;m;m;Italia;Regno d'Italia;Santo Stefano Quisquina;Santo Stefano Quisquina;bracciante;politico;Federico;;socialista;insegnante e politico italiano;2;
P01645;Q52819131;istituto tecnico;Lorenzo Panepinto;Lorenzo Panepinto;1865;0;m;;Italia;;Santo Stefano Quisquina;;bracciante;;Federico;;socialista;ist tec commerciale e per geometri di Bivona in provincia di Agrigento (Italia) [codice scuola: AGTD01701Q];2;
M00769;Q13468969;umano;Giuseppe Maggio;Giuseppe Maggio;1893;1992;m;m;Italia;Italia;Sambuca di Sicilia;Roma;carrettiere;attore;Melchiorre;;comunista;attore italiano (1992-);7;
M00769;Q3770853;umano;Giuseppe Maggio;Giuseppe Maggio;1893;1890;m;m;Italia;Italia|Regno d'Italia;Sambuca di Sicilia;Marsala;carrettiere;politico;Melchiorre;;comunista;politico e medico italiano;7;
M00769;Q124449012;umano;Giuseppe Maggio;Giuseppe Maggio;1893;0;m;m;Italia;Italia;Sambuca di Sicilia;;carrettiere;canottiere;Melchiorre;;comunista;;7;
M00769;Q43189244;umano;Giuseppe Maggio;Giuseppe Maggiore;1893;0;m;m;Italia;;Sambuca di Sicilia;;carrettiere;ricercatore;Melchiorre;;comunista;researcher;7;
M00769;Q3108079;umano;Giuseppe Maggio;Giuseppe Maggiolini;1893;1738;m;m;Italia;Repubblica Cispadana|Repubblica Italiana|Regno d'Italia|Repubblica Cisalpina|Ducato di Milano;Sambuca di Sicilia;Parabiago;carrettiere;disegnatore|ebanista;Melchiorre;;comunista;ebanista italiano;7;
M00769;Q3770856;umano;Giuseppe Maggio;Giuseppe Maggiore;1893;1882;m;m;Italia;Italia|Regno d'Italia;Sambuca di Sicilia;Palermo;carrettiere;filosofo|giurista|professore universitario|scrittore;Melchiorre;;comunista;giurista e scrittore italiano (1882-1954);7;
M00769;Q116017516;umano;Giuseppe Maggio;Giuseppe Maggiore;1893;1930;m;m;Italia;Italia;Sambuca di Sicilia;Lipari;carrettiere;politico;Melchiorre;;comunista;politico italiano;7;
S02205;Q1876253;umano;Luigi Santucci;Luigi Santucci;1886;1918;m;m;Italia;Italia|Regno d'Italia;Samarate;Milano;musicante;poeta|professore universitario|scrittore;Sempliciano;;anarchico;scrittore, romanziere e poeta italiano (1918-1999);3;
S02205;Q98787780;umano;Luigi Santucci;Luigi Santucci;1886;1895;m;m;Italia;Regno d'Italia;Samarate;Castel del Piano;musicante;soldato;Sempliciano;;anarchico;militare italiano (1895-1935);3;
S02205;Q126877093;umano;Luigi Santucci;Luigi Santucci;1886;1886;m;m;Italia;;Samarate;;musicante;critico letterario|saggista|scrittore;Sempliciano;;anarchico;writer (1886-1976);3;
B07114;Q5221152;umano;Dante Benedetti;Dante Benedetti;1915;1919;m;m;Italia;Stati Uniti d'America;Somma Lombardo;;;giocatore di baseball;Giovanni;;antifascista;giocatore di baseball statunitense;2;
B07114;Q5221153;parco;Dante Benedetti;Dante Benedetti Diamond at Max Ulrich Field;1915;0;m;;Italia;;Somma Lombardo;;;;Giovanni;;antifascista;park in San Francisco County, California, United States of America;2;
V04949;Q93226125;umano;Vittorio Volpi;Vittorio Volpi;1889;1953;m;m;Italia;Italia;Orbetello;;bracciante;bibliotecario;Francesco;;anarchico;bibliotecario italiano (1953-);4;
V04949;Q111576996;umano;Vittorio Volpi;Vittorio Volpi;1889;1939;m;m;Italia;Italia|Regno d'Italia;Orbetello;Milano;bracciante;personalità del mondo degli affari;Francesco;;anarchico;commerciante italiano (1939-);4;
V04949;Q111576853;umano;Vittorio Volpi;Vittorio Volpi;1889;1936;m;m;Italia;Italia|Regno d'Italia;Orbetello;Milano;bracciante;psicoanalista;Francesco;;anarchico;psicoanalista italiano (1936-1998);4;
V04949;Q104093626;;Vittorio Volpi;Q104093626;1889;0;m;;Italia;;Orbetello;;bracciante;;Francesco;;anarchico;;4;
V03080;Q106717351;umano;Lorenzo Viale;Lorenzo Viale;1874;1917;m;m;Italia;Regno d'Italia;Torino;Torino;panettiere;;Michele;;anarchico;condannato a morte durante la Seconda Guerra Mondiale;3;
P09128;Q5800267;umano;David Pini;David Pinillos;1896;1974;m;m;Italia;Spagna;San Piero in Campo;Segovia;marinaio;montatore|regista cinematografico|regista televisivo|sceneggiatore;Pasquale;;socialista;film director;2;
P09128;Q39794637;umano;David Pini;David Pinilla;1896;1958;m;m;Italia;Spagna;San Piero in Campo;Getxo;marinaio;attore cinematografico|attore televisivo;Pasquale;;socialista;;2;
P09758;Q70281376;umano;Giulio Pisani;Giulio Pisani;1873;0;m;;Italia;;Isola Del Liri;;meccanico;ricercatore;Luigi;;socialista;researcher;3;
P04375;Q48766870;umano;Giuseppe Pavoni;Giuseppe Pavoni;1880;1551;m;m;Italia;;Vasto;Soprazocco;calzolaio;editore musicale|tipografo;Marino;;anarchico;tipografo italiano (1551 ca.-1641);1;
D08513;Q37834971;umano;Marco Durante;Marco Durante;-1000;0;m;m;Italia;;Chieti;;;fisico|professore universitario|ricercatore;;;anarchico;ricercatore;4;
D08513;Q16575818;umano;Marco Durante;Marco Durante;-1000;1962;m;m;Italia;Italia;Chieti;Sanremo;;golfista;;;anarchico;golfista italiano;4;
D08513;Q30707579;pagina di disambiguazione di un progetto Wikimedia per nomi di persona;Marco Durante;Marco Durante;-1000;0;m;;Italia;;Chieti;;;;;;anarchico;pagina di disambiguazione di un progetto Wikimedia;4;
D08513;Q21173988;umano;Marco Durante;Marco Durante;-1000;1965;m;m;Italia;;Chieti;;;fisico;;;anarchico;fisico italiano;4;
F08053;Q136242085;umano;Enrico Frigerio;Enrico Frigerio;1872;2005;m;m;Italia;Italia;Cantù;;falegname;cestista;Giovanni;;anarchico;Italian basketball player (born 2005);2;
F08053;Q130387694;umano;Enrico Frigerio;Enrico Frigerio;1872;0;m;m;Italia;;Cantù;;falegname;regista;Giovanni;;anarchico;;2;
M14546;Q3771048;umano;Giuseppe Morandi;Giuseppe Morandi;1897;1894;m;m;Italia;Italia|Regno d'Italia;Acqui Terme;Castiglione delle Stiviere;;pilota automobilistico;Costantino;;antifascista;pilota automobilistico italiano;5;
M14546;Q112491025;umano;Giuseppe Morandi;Giuseppe Morandi;1897;1940;m;m;Italia;;Acqui Terme;;;professore universitario;Costantino;;antifascista;fisico e docente italiano (n 1940);5;
M14546;Q139178238;umano;Giuseppe Morandi;Q139178238;1897;1937;m;;Italia;;Acqui Terme;;;fotografo|regista;Costantino;;antifascista;;5;
M14546;Q3771046;umano;Giuseppe Morandi;Giuseppe Morandini;1897;1907;m;m;Italia;Italia|Regno d'Italia;Acqui Terme;Predazzo;;geografo|professore universitario;Costantino;;antifascista;geografo italiano (1907-1969);5;
M14546;Q3767776;umano;Giuseppe Morandi;Giovanni Morandi;1897;1777;m;m;Italia;;Acqui Terme;Pergola;;compositore|direttore d'orchestra|maestro|organista;Costantino;;antifascista;organista e compositore italiano;5;Giuseppe Morandi
G11262;Q64010282;umano;Giuseppe Gullo;Giuseppe Gullo;1914;0;m;m;Italia;;Curinga;;contadino;ricercatore;Antonino;;antifascista;researcher (ORCID 0000-0003-4269-4269);3;
G11262;Q88721736;umano;Giuseppe Gullo;Giuseppe Gullo;1914;0;m;m;Italia;;Curinga;;contadino;ricercatore;Antonino;;antifascista;researcher (ORCID 0000-0001-5325-1055);3;
G11262;Q138501221;umano;Giuseppe Gullo;Giuseppe Gullotti;1914;0;m;m;Italia;Italia;Curinga;;contadino;mafioso;Antonino;;antifascista;mafioso italiano;3;
C03231;Q109466074;umano;Carlo Caporali;Carlo Caporali;1886;1994;m;m;Italia;Italia;Montalcino;Vicenza;meccanico;calciatore;Giuseppe;;socialista;calciatore italiano;1;
C03636;Q93221427;umano;Giuseppe Capraro;Giuseppe Capraro;1877;1944;m;m;Italia;;Sciacca;;;;Calogero;;anarchico;;1;
C15708;Q56318455;umano;Augusto Corti;Augusto Cortina;1860;1902;m;m;Italia;Argentina;Torino;;amministratore;critico letterario;Giovanni;;anarchico;filologo, traduttore e critico letterario argentino;1;Augusto Cortina
V01685;Q19361849;umano;Pietro Vecellio;Pietro Vecellio;1873;1900;m;m;Italia;Italia|Regno d'Italia;Auronzo di Cadore;Auronzo di Cadore;sguattero;politico;Antonio;;anarchico;politico italiano;3;
V01685;Q111742349;umano;Giovanni Vecellio;Giovanni Rosso;1873;1401;m;m;Italia;;Auronzo di Cadore;Vercelli;sguattero;stampatore-libraio;Antonio;;anarchico;tipografo italiano (fl. 1480-1519);3;Giovanni Vecellio
B08997;Q3770106;umano;Giuseppe Berti;Giuseppe Berti;1901;1901;m;m;Italia;Italia|Regno d'Italia;Napoli;Napoli;pubblicista;politico;Angelo;;comunista;politico italiano (1901-1979);19;
B08997;Q18222758;umano;Giuseppe Berti;Giuseppe Berti;1901;1899;m;m;Italia;Italia|Regno d'Italia;Napoli;Mortara;pubblicista;insegnante|politico;Angelo;;comunista;politico e insegnante italiano (1899-1979);19;
B08997;Q102285049;umano;Giuseppe Berti;Giuseppe Berti;1901;0;m;m;Italia;;Napoli;;pubblicista;compositore;Angelo;;comunista;compositore;19;
B08997;Q125315751;umano;Giuseppe Berti;Giuseppe Berti;1901;1879;m;m;Italia;Italia;Napoli;;pubblicista;architetto;Angelo;;comunista;Italian architect;19;
B08997;Q106497963;umano;Giuseppe Berti;Giuseppe Bertin;1901;1952;m;m;Italia;Italia;Napoli;Adria;pubblicista;astrofisico|fisico|professore universitario;Angelo;;comunista;astrofisico italiano (1952-);19;
B08997;Q1408787;umano;Giuseppe Berti;Giuseppe Bertini;1901;1825;m;m;Italia;Regno d'Italia;Napoli;Milano;pubblicista;pittore;Angelo;;comunista;pittore italiano (1825-1898);19;
B08997;Q57063055;umano;Giuseppe Berti;Giuseppe Bertini;1901;0;m;m;Italia;;Napoli;;pubblicista;ricercatore;Angelo;;comunista;researcher;19;
B08997;Q3770105;umano;Giuseppe Berti;Giuseppe Bertieri;1901;1734;m;m;Italia;;Napoli;Ceva;pubblicista;sacerdote cattolico|teologo|vescovo cattolico;Angelo;;comunista;vescovo cattolico italiano;19;
B08997;Q3770108;umano;Giuseppe Berti;Giuseppe Bertini;1901;1759;m;m;Italia;;Napoli;Palermo;pubblicista;compositore;Angelo;;comunista;letterato, scrittore e compositore italiano (1759-1852);19;
B08997;Q3770109;umano;Giuseppe Berti;Giuseppe Bertini;1901;1918;m;m;Italia;Regno d'Italia;Napoli;provincia di Massa-Carrara;pubblicista;partigiano|presbitero;Angelo;;comunista;presbitero, partigiano e antifascista italiano (1918-1944);19;
B08997;Q87182838;umano;Giuseppe Berti;Giuseppe Bertini;1901;1772;m;m;Italia;Granducato di Toscana;Napoli;Firenze;pubblicista;medico|storico;Angelo;;comunista;medico e storico italiano;19;
B08997;Q137834838;umano;Giuseppe Berti;Giuseppe Bertinazzo;1901;0;m;m;Italia;Italia;Napoli;;pubblicista;cantante lirico;Angelo;;comunista;cantante d'opera tenore italiano;19;
B08997;Q86827235;umano;Giuseppe Berti;Giuseppe Berti Calura;1901;0;m;m;Italia;;Napoli;;pubblicista;;Angelo;;comunista;;19;
B08997;Q55225587;umano;Giuseppe Berti;Giuseppe Bertinatti;1901;1808;m;m;Italia;Regno d'Italia;Napoli;Castellamonte;pubblicista;politico;Angelo;;comunista;;19;
B08997;Q114560141;umano;Giuseppe Berti;Giuseppe Bertini;1901;0;m;m;Italia;;Napoli;;pubblicista;;Angelo;;comunista;;19;
B08997;Q132860321;umano;Giuseppe Berti;Q132860321;1901;1963;m;m;Italia;Italia;Napoli;;pubblicista;istologo|medico;Angelo;;comunista;medico italiano (1963-), docente di Istologia presso l'Università degli studi di Verona;19;
B08997;Q132852231;umano;Giuseppe Berti;Q132852231;1901;1797;m;m;Italia;Regno d'Italia;Napoli;;pubblicista;pittore;Angelo;;comunista;pittore italiano (1797-1861);19;
B08997;Q132860111;umano;Giuseppe Berti;Q132860111;1901;1941;m;m;Italia;Italia;Napoli;;pubblicista;professore universitario|sacerdote cattolico|storico|storico dell'arte;Angelo;;comunista;storico e presbitero italiano (1941-);19;
B08997;Q3770107;pagina di disambiguazione di un progetto Wikimedia;Giuseppe Berti;Giuseppe Bertini;1901;0;m;;Italia;;Napoli;;pubblicista;;Angelo;;comunista;pagina di disambiguazione di un progetto Wikimedia;19;
C13222;Q9065048;umano;Pio Coli;Pío Collivadino;1878;1869;m;m;Italia;Argentina;Livorno;Buenos Aires;facchino sul porto;pittore;Eugenio;;anarchico;pittore argentino;1;Pio Colivadino
F05136;Q930346;umano;Vincenzo Fiorillo;Vincenzo Fiorillo;1873;1990;m;m;Italia;Italia;San Severo;Genova;industrioso;calciatore;Antonio;;socialista;calciatore italiano (1990-);5;
F05136;Q125305226;umano;Ciro Fiorillo;Ciro Fiorillo;1873;0;m;m;Italia;Italia;San Severo;;industrioso;autore;Antonio;;socialista;Italian author, active in Naples;5;
R02466;Q3750533;umano;Francesco Repetto;Francesco Repetto;1901;1914;m;m;Italia;Italia|Regno d'Italia;Ovada;Genova;cuoco;bibliotecario|presbitero;Giuseppe;;anarchico;presbitero e bibliotecario italiano (1917-1984);1;
R03818;Q103340693;umano;Stefano Riolo;Stefano Riolo;1853;0;m;m;Italia;Italia;Piana Dei Greci;;contadino;matematico;Venanzio;;anarchico;matematico italiano;1;
D01921;Q3629611;umano;Augusto De Angelis;Augusto De Angelis;1891;1888;m;m;Italia;Regno d'Italia;Arcevia;Roma;sarto;giornalista|scrittore;Adolfo;;anarchico;scrittore e giornalista italiano;1;
D00234;Q3740833;umano;Fedele D'Amico;Fedele D'Amico;1875;1912;m;m;Italia;Italia|Regno d'Italia;Ortucchio;Roma;operaio;critico musicale|critico teatrale|musicologo|professore universitario|traduttore;Antonio;Silvio;anarchico;musicologo e critico musicale italiano (1912-1990);1;
M15249;Q102459841;umano;Luigi Mori;Luigi Morino;1884;1938;m;m;Italia;Italia;Castelfiorentino;Roma;calzolaio;ingegnere|ingegnere meccanico|professore universitario;Bellarmino;;anarchico;professore universitario (n. 1938);2;
M15249;Q41617194;umano;Luigi Mori;Luigi Moriani;1884;1845;m;m;Italia;;Castelfiorentino;;calzolaio;giurista|insegnante;Bellarmino;;anarchico;1845-1921;2;
D03422;Q102678825;umano;Antonio De Rosa;Antonio De Rosa;1885;0;m;m;Italia;;Caivano;;ferroviere ex;;Nicola;;antifascista;Ph.D. Universität Zürich 2017;4;
D03422;Q139192015;umano;Antonio De Rosa;Q139192015;1885;1962;m;;Italia;;Caivano;;ferroviere ex;;Nicola;;antifascista;;4;
D03422;Q134312869;umano;Antonio De Rosa;Antonio De Rosa;1885;1975;m;m;Italia;;Caivano;Italia;ferroviere ex;designer|imprenditore;Nicola;;antifascista;Entrepreneur, Designer, and Founder & CEO of ADR Studio Management;4;
D03422;Q3968179;umano;Antonio De Rosa;Stanis Ruinas;1885;1899;m;m;Italia;Italia|Regno d'Italia;Caivano;Usini;ferroviere ex;giornalista|saggista|scrittore;Nicola;;antifascista;giornalista e scrittore italiano (1899-1984);4;Antonio De Rosas
D04551;Q790243;umano;Francesco Del Sarto;Ferenc Baranyi;1873;1937;m;m;Italia;Ungheria;Campiglia Marittima;Pilis;;poeta|scrittore|traduttore;Giovanni;;anarchico;scrittore;1;Francesco del Sarto
P00686;Q3771129;umano;Giuseppe Pagliarini;Giuseppe Pagliarini;1897;1920;m;m;Italia;Italia|Regno d'Italia;Bribano;Milano;fruttivendolo;attore;Augusto;;socialista;attore italiano;1;
Z00657;Q3620333;umano;Antonio Zanardi;Antonio Zanardi Landi;1879;1950;m;m;Italia;Italia;Rinaroni;Udine;;ambasciatore|diplomatico;Michele;;comunista;diplomatico italiano;3;
M12320;Q58461313;umano;Francesco Mirabella;Francesco Mirabella;1868;0;m;m;Italia;;Nicosia;;barbiere;ricercatore;Carmelo;;anarchico;researcher ORCID ID = 0000-0002-7448-5181;3;
M11602;Q490;città;Milano;Milano;-1000;0;m;;;;;;;;;;anarchico;comune italiano, capoluogo dell'omonima città metropolitana e della regione Lombardia;20;Milano
M11602;Q18288155;città metropolitana d'Italia;Milano;città metropolitana di Milano;-1000;0;m;;;;;;;;;;anarchico;ente locale italiano istituito nel 2015, corrispondente alla precedente provincia di Milano;20;Milano
M11602;Q21431156;cognome;Milano;Milano;-1000;0;m;;;;;;;;;;anarchico;cognome;20;
M11602;Q982385;city;Milano;Milano;-1000;0;m;;;;;;;;;;anarchico;centro abitato del Texas, Stati Uniti;20;
M11602;Q11781167;gruppo musicale;Milano;Milano;-1000;0;m;;;;;;;;;;anarchico;Polish music group;20;
M11602;Q18493108;insediamento umano;Milano;Milano;-1000;0;m;;;;;;;;;;anarchico;centro abitato situato presso Spoleto, provincia di Perugia;20;
M11602;Q18468453;insediamento umano;Milano;Milano;-1000;0;m;;;;;;;;;;anarchico;centro abitato situato presso Berbenno, provincia di Bergamo;20;Milano
M11602;Q61475940;giornale;Milano;Milano;-1000;0;m;;;;;;;;;;anarchico;Gazzetta pubblicata a Milano;20;
M11602;Q109815873;umano;Milano;Max Millan;-1000;0;m;m;;Italia;;Palazzolo dello Stella;;DJ producer|disc jockey;;;anarchico;DJ e produttore italiano;20;Milano
