gold;cpc;qid;nom1;nom2;nac1;nac2;sex1;sex2;pais1;pais2;ciudad1;ciudad2;oficio1;oficio2;padre1;padre2;afil1;afil2;num_ent;alias;eval_birth;eval_name;eval_sex;eval_country;eval_city;eval_father;eval_occupation;eval_affiliation;eval_city2
No;B18420;Q23931603;Giovanni Bruno;Giovanni Bruno;1901;1900;m;m;Francia;Italia|Regno d'Italia;Francia;;calzolaio;esperantista;Antonio giacomo;;anarchico;esperantista;17;;0;1;1;-1;0;0;-1;0;0.0
Yes;C01071;Q3754034;Guido Calogero;Guido Calogero;1904;1904;m;m;Italia;Italia|Regno d'Italia;Roma;Roma;professore;filosofo|politico|professore universitario;Giorgio;Giorgio;antifascista;filosofo, saggista e politico italiano (1904-1986);1;;1;1;1;1;1;1;1;0;1.0
Yes;C01903;Q18811826;Cesare Campioli;Cesare Campioli;1902;1902;m;m;Italia;Italia|Regno d'Italia;Reggio Emilia;Cavazzoli;meccanico;imprenditore|politico;Alfredo;;comunista;politico e imprenditore italiano (1902-1971);1;;1;1;1;1;-1;0;-1;0;0.3529411764705882
No;C02350;Q64745395;Francesco Canessa;Francesco Canessa;1872;1872;m;m;Italia;;Genova;;muratore;sacerdote cattolico|vescovo cattolico;Angelo;;antifascista;vescovo cattolico;2;;1;1;1;0;0;0;-1;0;0.0
Yes;C03168;Q41231402;Giovanni Capodivacca;Giovanni Capodivacca;1884;1884;m;m;Italia;Regno d'Italia;Cavarese Santa Croce;Cervarese Santa Croce;maestro;commediografo|critico d'arte|drammaturgo|giornalista|insegnante|scrittore;Napoleone;;socialista;giornalista e commediografo italiano (1884-1934);1;;1;1;1;1;-1;0;1;0;0.9473684210526316
Yes;C05447;Q3766970;Giovanni Cartia;Giovanni Cartia;1894;1894;m;m;Italia;Italia|Regno d'Italia;Scicli;Scicli;avvocato;politico;Girolamo;;socialista;avvocato e politico italiano;3;;1;1;1;1;1;0;-1;0;1.0
Yes;C06020;Q28504166;Agostino Casati;Agostino Casati;1897;1897;m;m;Italia;Italia|Regno d'Italia;Rho;Rho;ferroviere ex|impiegato;partigiano|politico;Antonio;;comunista;politico italiano;2;;1;1;1;1;1;0;-1;0;1.0
Yes;C07017;Q16537758;Casimiro Casucci;Casimiro Casucci;1885;1885;m;m;Italia;Italia;Castelnuovo Berardenga;Castelnuovo Berardenga;maestro elementare;antifascista|insegnante di scuola primaria|politico;Casimiro;;socialista;insegnante, politico e antifascista italiano;1;;1;1;1;1;1;0;1;0;1.0
Yes;C07747;Q3608423;Alberto Mario Cavallotti;Alberto Mario Cavallotti;1907;1907;m;m;Italia;Italia|Regno d'Italia;Perugia;Perugia;medico chirurgo;partigiano|politico;Carlo;;antifascista;medico e politico italiano;3;;1;1;1;1;1;0;-1;0;1.0
Yes;C09050;Q135509386;Vittorio Ceretti;Vittorio Ceretti;1868;1869;m;m;Italia;Regno d'Italia;Milano;Milano;dottore medico chirurgo;chirurgo|poeta;Lorenzo;;repubblicano;poeta italiano (n. 1869);3;;0;1;1;1;1;0;-1;0;1.0
Yes;C10063;Q30554685;Elio Chianesi;Elio Chianesi;1910;1910;m;m;Italia;Regno d'Italia;Firenze;Firenze;meccanico;partigiano;Andrea;;comunista;partigiano italiano, medaglia d'oro al valore militare (1910-1944);1;;1;1;1;1;1;0;-1;0;1.0
Yes;C10428;Q3734314;Eugenio Chiesa;Eugenio Chiesa;1863;1863;m;m;Italia;Regno d'Italia;Milano;Milano;deputato ex;politico;Ignoto;;repubblicano;politico italiano;2;;1;1;1;1;1;0;1;0;1.0
Yes;C10655;Q3770314;Giuseppe Chiostergi;Giuseppe Chiostergi;1889;1889;m;m;Italia;Italia|Regno d'Italia;Senigallia;Senigallia;professore;politico;Adolfo;;repubblicano;docente e politico italiano (1889-1961);1;;1;1;1;1;1;0;-1;0;1.0
Yes;C10971;Q3856558;Michele Cianciulli;Michele Cianciulli;1895;1895;m;m;Italia;Italia|Regno d'Italia;Montella;Montella;statale;avvocato|filosofo|giurista|storico;Raffaele;;comunista;avvocato italiano (1895-1965);2;;1;1;1;1;1;0;-1;0;1.0
Yes;C12836;Q107101293;Mario Coda;Mario Coda Spirito;1903;1903;m;m;Italia;Italia|Regno d'Italia;Biella;Biella;impiegato privato;partigiano|politico;Luigi;;comunista;politico e partigiano italiano;5;;1;1;1;1;1;0;-1;0;1.0
No;C14517;Q58324385;Bruno Conti;Bruno Conti (partigiano);1911;1911;m;m;Svizzera;Regno d'Italia;Ginevra;Q1046784;imbianchino;militare|partigiano;Nicola;;antifascista;Partigiano italiano;10;Bruno Conti (partigiano);1;1;1;-1;-1;0;-1;0;0.0
No;D00985;Q104693840;Antonio Dal;Antonio Marco Dalla Pozza;1901;1900;m;m;Italia;Italia|Regno d'Italia;Quero;Novoledo;muratore;bibliotecario|storico dell'arte|storico locale;Domenico;;antifascista;bibliotecario, storico locale e storico dell'arte italiano (1900-1967);39;Antonio Dalla Pozza;0;-1;1;1;-1;0;-1;0;0.5
No;D00985;Q61475153;Antonio Dal;Antonio Dal Prà;1901;1901;m;m;Italia;;Quero;;muratore;;Domenico;;antifascista;autore (XX secolo);39;;1;1;1;0;0;0;0;0;0.0
No;D00985;Q65128019;Alberto Dal;Alberto Dalcò;1901;1902;m;m;Italia;Regno d'Italia;Quero;Traversetolo;muratore;stilista;Domenico;;antifascista;;39;;0;-1;1;1;-1;0;-1;0;0.4
No;D00985;Q67678520;Alberto Dal;Alberto Dal Co';1901;1902;m;m;Italia;;Quero;Traversetolo;muratore;calzolaio|shoe designer;Domenico;;antifascista;Italian shoe designer and shoemaker;39;;0;1;1;0;-1;0;-1;0;0.4
Yes;D02694;Q3848505;Mario De Leone;Mario De Leone;1889;1889;m;m;Italia;Regno d'Italia;Napoli;Napoli;commerciante|impiegato privato;poeta|politico;Tommaso;;comunista;politico italiano;1;;1;1;1;1;1;0;-1;0;1.0
Yes;D06874;Q728583;Giuseppe Di Vittorio;Giuseppe Di Vittorio;1892;1892;m;m;Italia;Italia|Regno d'Italia;Cerignola;Cerignola;contadino|deputato ex;partigiano|politico|sindacalista;Michele;;comunista;politico, sindacalista e antifascista italiano (1892-1957);2;;1;1;1;1;1;0;1;0;1.0
Yes;D08427;Q63767915;Enrico Dugoni;Enrico Dugoni;1874;1874;m;m;Italia;Regno d'Italia;San Benedetto Po;San Benedetto Po;direttore prodotti farmaceutici;giornalista pubblicista|politico;Eugenio;;socialista;politico italiano;1;;1;1;1;1;1;0;-1;0;1.0
Yes;F00691;Q3616984;Angelo Faggi;Angelo Faggi;1885;1885;m;m;Italia;Italia|Regno d'Italia;Brozzi;Brozzi;deputato ex|negoziante in marmo;politico|sindacalista;Enrico;;socialista;sindacalista e politico italiano (1885-1957);4;;1;1;1;1;1;0;1;0;1.0
No;F03237;Q3749970;Francesco Ferrari;Francesco Ferrari;1892;1893;m;m;Italia;Italia|Regno d'Italia;Modena;Castel Goffredo;avvocato|professore universitario;politico;Domenico;;antifascista;politico italiano (1893-1980);41;;0;1;1;1;-1;0;-1;0;0.33333333333333337
Yes;F04663;Q16574228;Luigi Filosa;Luigi Filosa;1897;1897;m;m;Italia;Italia|Regno d'Italia;Cosenza;Cosenza;avvocato;politico;Pietro;;repubblicano;avvocato e politico italiano;1;;1;1;1;1;1;0;-1;0;1.0
No;F05440;Q3749992;Francesco Flora;Francesco Flora;1891;1891;m;m;Italia;Italia|Regno d'Italia;Colle Romito;Colle Sannita;avvocato|pubblicista;critico letterario|curatore editoriale|italianista|poeta|professore universitario|scrittore|storico della letteratura;Giuseppe;;antifascista;critico letterario, scrittore e antifascista italiano (1891-1962);2;;1;1;1;1;-1;0;-1;1;0.6666666666666667
No;F07371;Q3659379;Carlo Francovic;Carlo Francovich;1910;1910;m;m;Italia;Italia|Regno d'Italia|Regno d'Ungheria;Gorizia;Fiume;professore in lettere;partigiano|storico della letteratura;Alfredo;;antifascista;storico della letteratura, politico e partigiano italiano (1910-1990);1;;1;-1;1;1;-1;0;-1;0;0.2857142857142857
Yes;F08417;Q3839664;Luigi Fulci;Luigi Fulci;1872;1872;m;m;Italia;Regno d'Italia;Modica;Modica;avvocato|deputato;politico;Ludovico;;antifascista;avvocato e politico italiano;1;;1;1;1;1;1;0;1;0;1.0
No;G01012;Q61235010;Antonio Galli;Antonio Galli;1884;1883;m;m;Italia;Svizzera;Clivio;Bioggio;muratore;insegnante|politico;Francesco;;comunista;docente svizzero;15;;0;1;1;-1;-1;0;-1;0;0.5
Yes;G02676;Q5389884;Ermenegildo Gasperoni;Ermenegildo Gasperoni;1906;1906;m;m;Repubblica San Marino;San Marino;San Marino;;bracciante;politico;Sebastiano;;comunista;politico sammarinese;1;;1;1;1;1;0;0;-1;0;0.0
Yes;G04104;Q107671250;Roberto Gherardi;Roberto Gherardi;1899;1899;m;m;Italia;Regno d'Italia;Castel Guelfo;Castel Guelfo di Bologna;calzolaio;calzolaio|partigiano;Luigi;;comunista;Partigiano italiano;1;;1;1;1;1;1;0;1;0;1.0
Yes;G05996;Q602239;Antonio Giolitti;Antonio Giolitti;1915;1915;m;m;Italia;Italia|Regno d'Italia;Roma;Roma;dottore in legge;partigiano|politico;Giuseppe;;comunista;politico e partigiano italiano (1915-2010);1;;1;1;1;1;1;0;-1;0;1.0
No;G06589;Q63951997;Mario Giovannini;Mario Giovannini;1904;1903;m;m;Svizzera;Regno d'Italia;Zurigo;Vairano Patenora;bracciante;ingegnere|politico|professore universitario;Isidoro;;antifascista;politico italiano;1;;0;1;1;-1;-1;0;-1;0;0.33333333333333337
Yes;G06899;Q24276237;Maria Giudice;Maria Giudice;1880;1880;f;f;Italia;Italia|Regno d'Italia;Codevilla;Codevilla;maestra elementare;curatore editoriale|giornalista|insegnante|sindacalista;Ernesto;;socialista;giornalista, attivista politica e insegnante italiana (1880-1953);4;;1;1;1;1;1;0;1;0;1.0
Yes;G07106;Q63284167;Luigi Giulietti;Luigi Giulietti;1852;1852;m;m;Italia;Regno di Sardegna (1847-1861)|Regno d'Italia;Voghera;Casteggio;medico;medico|politico;Giulio;;socialista;politico italiano;1;;1;1;1;1;-1;0;1;0;0.25
Yes;G07321;Q3770698;Giuseppe Giusti;Giuseppe Giusti Sinopoli;1866;1866;m;m;Italia;Regno d'Italia;Agira;Agira;;drammaturgo|scrittore;Salvatore;;socialista;drammaturgo italiano;13;;1;1;1;1;1;0;0;0;1.0
Yes;G07895;Q3779308;Guido Gonzato;Guido Gonzato;1896;1896;m;m;Italia;Italia|Regno d'Italia;Colognola ai Colli;Colognola ai Colli;pittore;artista|pittore;Carlo;;socialista;pittore italiano;4;;1;1;1;1;1;0;1;0;1.0
No;G08698;Q105378428;Angelo Grassi;Angelo Grassi;1904;1903;m;m;Italia;Italia|Regno d'Italia;Sinalunga;Belgioioso;muratore;antifascista|operaio|politico;Agostino;;comunista;antifascista e politico italiano (1903-?);4;;0;1;1;1;-1;0;-1;0;0.3076923076923077
Yes;G09977;Q111554510;Giovanni Guacci;Giovanni Guacci;1902;1902;m;m;Italia;Regno d'Italia;Lecce;Lecce;avvocato;avvocato|politico;Luigi;;repubblicano;Consulta nazionale;1;;1;1;1;1;1;0;1;0;1.0
Yes;G10758;Q61476535;Paolo Guerrini;Paolo Guerrini;1880;1880;m;m;Italia;Italia|Regno d'Italia;Bagnolo Mella;Bagnolo Mella;monsignore;bibliotecario|sacerdote cattolico;Ismaele;;antifascista;sacerdote e bibliotecario italiano (1880-1960);2;;1;1;1;1;1;0;1;0;1.0
Yes;I00294;Q63410561;Pietro Iantorni;Pietro Iantorni;1874;1874;m;m;Italia;Francia|Regno d'Italia;Marano Marchesato;Marano Marchesato;negoziante di calzature;calzolaio|stilista;Giuseppe;;anarchico;stilista italiano;1;Pietro Iantorni;1;1;1;1;1;0;-1;0;1.0
Yes;I00857;Q23818714;Angelo Invernizzi;Angelo Invernizzi;1884;1884;m;m;Italia;Italia|Regno d'Italia;Marcellise;San Martino Buon Albergo;ingegnere;ingegnere;Antonio;;socialista;ingegnere italiano;1;;1;1;1;1;-1;0;1;0;0.42105263157894735
Yes;L00601;Q3609239;Aldo Lampredi;Aldo Lampredi;1899;1899;m;m;Italia;Italia|Regno d'Italia;Firenze;Firenze;falegname;partigiano|politico;Ignoto;;comunista;ebanista, politico e partigiano italiano;1;;1;1;1;1;1;0;-1;0;1.0
No;L02674;Q3761413;Gesualdo Li;Gesualdo Libertini;1861;1860;m;m;Italia;Regno d'Italia;Lentini;Caltagirone;;politico;Pasquale;;socialista;politico italiano;3;;0;-1;1;1;-1;0;0;0;0.4285714285714286
Yes;L03434;Q1896098;Maria Lobe;Maria Lobe;1913;1912;f;f;Yugoslavia;Germania;Yugoslavia;Breslavia;milite di squadra;combattente della resistenza|medico|politico;Francesco;;comunista;politica tedesca;2;;0;1;1;-1;-1;0;-1;0;0.8
Yes;L03984;Q3770825;Giuseppe Lombardo;Giuseppe Lombardo Radice;1879;1879;m;m;Italia;Regno d'Italia;Catania;Catania;insegnante di pedagogia;pedagogista;Luciano;;antifascista;pedagogista e filosofo italiano (1879-1938);13;;1;1;1;1;1;0;1;0;1.0
Yes;L04215;Q3839790;Luigi Loperfido;Luigi Loperfido;1877;1877;m;m;Italia;Italia|Regno d'Italia;Matera;Matera;proprietario agricolo;artista;Emanuele;;socialista;sindacalista e predicatore italiano;1;;1;1;1;1;1;0;-1;0;1.0
Yes;L05761;Q3838895;Lucio Mario Luzzatto;Lucio Mario Luzzatto;1913;1913;m;m;Italia;Italia|Regno d'Italia;Milano;Milano;studente in legge;politico;Fabio;;antifascista;politico italiano (1913-1986);5;Lucio Luzzatto;1;1;1;1;1;0;-1;0;1.0
Yes;L05761;Q3838895;Lucio Luzzatto;Lucio Mario Luzzatto;1913;1913;m;m;Italia;Italia|Regno d'Italia;Milano;Milano;studente in legge;politico;Fabio;;antifascista;politico italiano (1913-1986);5;Lucio Luzzatto;1;1;1;1;1;0;-1;0;1.0
No;M00659;Q3764655;Luigi Maggi;Gino Maggioni;1899;1898;m;m;Italia;Italia|Regno d'Italia;La Spezia;San Giorgio su Legnano;manovale;architetto;Domenico;;comunista;architetto italiano;12;Luigi Maggioni;0;-1;1;1;-1;0;-1;0;0.4
No;M00884;Q109829549;Elio Magli;Elio Magli;1907;1907;m;;Italia;;Malalbergo;;meccanico;;Lucio;;comunista;;1;;1;1;0;0;0;0;0;0;0.0
No;M04786;Q1871402;Giuseppe Mariani;Giuseppe Mariani;1899;1898;m;m;Italia;;Origgio;;agente di assicurazione;compositore|direttore d'orchestra|flautista|musicologo|organista|professore di musica;Giuseppe;;comunista;compositore italiano (1898-1982);12;;0;1;1;0;0;0;-1;0;0.0
No;M04786;Q3770933;Giuseppe Mariani;Giuseppe Mariani;1899;1898;m;m;Italia;Italia|Regno d'Italia;Origgio;Castellucchio;agente di assicurazione;anarchico|ferroviere|libraio|sarto|scrittore;Giuseppe;;comunista;anarchico e scrittore italiano (1898-1974);12;;0;1;1;1;-1;0;-1;0;0.4444444444444444
Yes;M05191;Q33528658;Gaetano Marino;Gaetano Marino;1892;1892;m;m;Italia;Regno d'Italia;Salemi;Salemi;insegnante;rivoluzionario;Nicolo;;anarchico;rivoluzionario;1;;1;1;1;1;1;0;-1;0;1.0
No;M06217;Q61477585;Giuseppe Martini;Giuseppe Martini;1900;1901;m;m;Italia;;San Remo;;muratore;scrittore;Giacomo lorenzo;;comunista;autore (XX secolo);24;;0;1;1;0;0;0;-1;0;0.0
No;M07002;Q63958993;Otello Masini;Otello Masini;1864;1864;m;m;Italia;Regno d'Italia;Firenze;;applicato delle ferrovie;politico;Luigi;;repubblicano;politico italiano;1;;1;1;1;1;0;0;-1;0;0.0
No;M08280;Q106988759;Giuseppe Mazza;Giuseppe Mazzarelli;1869;1870;m;m;Italia;Regno d'Italia;Curinga;Ancona;fabbro;malacologo|zoologo;Giovanni;;anarchico;malacologo, zoologo;20;;0;-1;1;1;-1;0;-1;0;0.4444444444444444
No;M08280;Q30890057;Giuseppe Mazza;Giuseppe Mazzarella;1869;1868;m;m;Italia;Italia|Regno d'Italia;Curinga;Reggio Calabria;fabbro;giurista;Giovanni;;anarchico;giurista ed etnologo italiano (1868-1958);20;;0;-1;1;1;-1;0;-1;0;0.6
No;M11012;Q5565462;Giuseppe Micheli;Giuseppe Micheli;1888;1888;m;m;Italia;Italia;Leffe;;muratore;editore|pentatleta|pentatleta moderno|scrittore;Battista;;socialista;pentatleta, pentatleta moderno italiano;8;;1;1;1;1;0;0;-1;0;0.0
Yes;M13426;Q3894272;Paolo Monelli;Paolo Monelli;1891;1891;m;m;Italia;Italia|Regno d'Italia;Fiorano Modenese;Fiorano Modenese;scrittore;giornalista|scrittore;Ernesto;;antifascista;giornalista e scrittore italiano (1891-1984);4;;1;1;1;1;1;0;1;0;1.0
Yes;M14173;Q3629675;Augusto Monti;Augusto Monti;1881;1881;m;m;Italia;Italia|Regno d'Italia;Asti;Monastero Bormida;pensionato|professore;insegnante|latinista|partigiano|politico|scrittore|storico della filosofia;Bartolomeo;;antifascista;scrittore, docente e politico italiano (1881-1966);2;;1;1;1;1;-1;0;1;0;0.5
Yes;M14348;Q3765609;Giorgio Montini;Giorgio Montini;1860;1860;m;m;Italia;Regno d'Italia;Brescia;Concesio;deputato ex|dottore;giornalista|politico;Lodovico;;antifascista;giornalista italiano (1860-1943);1;;1;1;1;1;-1;0;1;0;0.5454545454545454
Yes;N01909;Q3984307;Teresa Noce;Teresa Noce;1900;1900;f;f;Italia;Italia|Regno d'Italia;Torino;Torino;stiratrice;giornalista|partigiano|politico|sindacalista;Pietro;;comunista;partigiana, politica e antifascista italiana (1900-1980);1;;1;1;1;1;1;0;-1;0;1.0
No;O00570;Q3904118;Pietro Onida;Pietro Onida;1901;1902;m;m;Italia;Italia|Regno d'Italia;Sedilo;Villanova Monteleone;operaio|verniciatore;economista|insegnante;Salvatore;;antifascista;docente e economista italiano;1;;0;1;1;1;-1;0;-1;0;0.5
Yes;P01645;Q3837034;Lorenzo Panepinto;Lorenzo Panepinto;1865;1865;m;m;Italia;Regno d'Italia;Santo Stefano Quisquina;Santo Stefano Quisquina;bracciante;politico;Federico;;socialista;insegnante e politico italiano;2;;1;1;1;1;1;0;-1;0;1.0
Yes;P02287;Q3932424;Remigio Paone;Remigio Paone;1899;1899;m;m;Italia;Italia|Regno d'Italia;Formia;Formia;avvocato (dato incerto)|direttore di teatro|dottore (dato incerto)|ragioniere;regista|regista teatrale;Giuseppe;;socialista;regista teatrale, produttore teatrale e direttore teatrale italiano (1899-1977);1;;1;1;1;1;1;0;-1;0;1.0
Yes;P03279;Q13101528;Andrea Pasini;Andrea Pasini;1911;1911;m;m;Lussemburgo;Lussemburgo;Lussemburgo;;filodrammatico;;Primo;;comunista;(1911-1945);2;;1;1;1;1;0;0;0;0;0.0
No;P03789;Q3769740;Giulio Pastore;Giulio Pastore;1901;1902;m;m;Italia;Italia|Regno d'Italia;Savona;Genova;operaio meccanico;politico;Giuseppe;;comunista;politico e sindacalista italiano (1902-1969);8;;0;1;1;1;-1;0;-1;0;0.5
Yes;P03805;Q19833725;Raffaele Pastore;Raffaele Pastore;1881;1881;m;m;Italia;Italia|Regno d'Italia;Spinazzola;Spinazzola;contadino;politico;Domenico;;comunista;politico italiano (1881-1969);4;;1;1;1;1;1;0;-1;0;1.0
Yes;P08287;Q3119454;Guido Picelli;Guido Picelli;1889;1889;m;m;Italia;Regno d'Italia;Parma;Parma;deputato ex|orologiaio;politico|sindacalista;Leonardo;;comunista;politico, antifascista e militare italiano (1889-1937);1;;1;1;1;1;1;0;1;0;1.0
Yes;P08730;Q33164018;Ernesto Pietriboni;Ernesto Pietriboni;1874;1874;m;m;Italia;Italia|Regno d'Italia;Venezia;Venezia;avvocato;avvocato|giornalista|politico;Mario;;socialista;avvocato, giornalista e politico italiano;1;;1;1;1;1;1;0;1;0;1.0
No;P09672;Q48803677;Luigi Pirovano;Luigi Pirovano;1901;1900;m;m;Italia;Italia|Regno d'Italia;Cassano D'Adda;Monza;fattorino privato;arbitro di calcio;Ambrogio;;antifascista;arbitro di calcio italiano;2;;0;1;1;1;-1;0;-1;0;0.33333333333333337
No;R01716;Q16526758;Angelo Re;Angelo Rescalli;1885;1884;m;m;Italia;Italia|Regno d'Italia;Cumiana;Azzanello;contadino;pittore|presbitero;Matteo;;anarchico;presbitero e pittore italiano (1884-1956);41;;0;-1;1;1;-1;0;-1;0;0.33333333333333337
Yes;R01756;Q1297866;Egidio Reale;Egidio Reale;1888;1888;m;m;Italia;Italia|Regno d'Italia;Lecce;Lecce;avvocato;antifascista|diplomatico|giurista;Vito;;repubblicano;Italian diplomat (1888–1958);1;;1;1;1;1;1;0;1;0;1.0
Yes;R02066;Q115789963;Antonio Reggiani;Antonio Reggiani;1881;1881;m;m;Italia;Italia|Regno d'Italia;Civitavecchia;;ragioniere;ragioniere commercialista|scrittore;Secondo;;antifascista;contabile e scrittore italiano (1881-1960);1;;1;1;1;1;0;0;1;0;0.0
No;R03009;Q3849031;Mario Ricci;Mario Ricciardi;1907;1908;m;m;Italia;Italia|Regno d'Italia;Sant'Arcangelo di Romagna;Salerno;manovale|muratore;politico;Luigi;;comunista;politico italiano (1908-1952);17;;0;-1;1;1;-1;0;-1;0;0.6
